title|pubdate|mastingperiod|occasion|location|section|date1|date2|year
Memorial Service for Deceased Parliamentarians|Mon, 4 Jun 2012 00:00:00 -0400| From 9:00 a.m. to 11:00 a.m. on Monday, June 4, 2012| Memorial Service for Deceased Parliamentarians| Peace Tower in Ottawa||2012-06-04 00:00:00|NA|2012
Day of Mourning for Persons Killed or Injured in the Workplace|Sat, 28 Apr 2012 07:00:00 -0400| From sunrise to sunset on Saturday, April 28, 2012 to mark this day of mourning| Day of Mourning for Persons Killed or Injured in the Workplace (Workers' Mourning Day)| The Peace Tower in Ottawa and on all Government of Canada buildings and establishments across Canada |11|2012-04-28 00:00:00|NA|2012
Vimy Ridge Day|Thu, 29 Mar 2012 00:00:00 -0400| From sunrise to sunset on Monday April 9, 2012| The national day of remembrance of the Battle of Vimy Ridge| The Peace Tower in Ottawa|11|2012-04-09 00:00:00|NA|2012
Death of Tony Silipo, former Member of the Legislative Assembly of Ontario|Thu, 15 Mar 2012 00:00:00 -0400| From sunrise to sunset on Thursday, March 15, 2012, the day of the funeral of Mr. Silipo| Death of Tony Silipo, former Member of the Legislative Assembly of Ontario for the riding of Davenport, from 1991 to 1999| All Government of Canada buildings and establishments in the riding of Davenport |10|2012-03-15 00:00:00|NA|2012
Death of the Honourable Pierre Juneau|Wed, 22 Feb 2012 00:00:00 -0500| From February 22 until sunset February 25, 2012, day of the funeral of the late Honourable Pierre Juneau. | Death of the Honourable Pierre Juneau who passed away February 21, 2012.| February 22 to 25: All Government of Canada buildings and establishments in the city of Montréal, Québec. February 25: The Peace Tower on Parliament Hill in Ottawa.|7|2012-02-22 00:00:00|2012-02-25 00:00:00|2012
Death of the Honourable Fred Dickson, Q.C., Senator (2009-2012)|Thu, 9 Feb 2012 00:00:00 -0500| From February 9 until sunset on February 18, 2012 day of the funeral of the late Honourable Fred Dickson. | Death of the Honourable Fred Dickson, Q.C., Senator (2009-2012), who passed away February 9, 2012. | February 9 to 18: All Government of Canada buildings and establishments in the city of Truro, Nova Scotia. February 18: The Peace Tower on Parliament Hill in Ottawa. |7|2012-02-09 00:00:00|2012-02-18 00:00:00|2012
Death of His Excellency Richard Turkson, High Commissionner for Ghana in Canada|Sat, 14 Jan 2012 07:00:00 -0500| From sunrise to sunset on Saturday January 14, 2012, day of the funeral service of His late Excellency Richard Turkson.| Death of His Excellency Richard Turkson, High Commissionner for Ghana in Canada, who passed away on November 23, 2011. | The Peace Tower on Parliament Hill in Ottawa.|9|2012-01-14 00:00:00|NA|2012
National Day of Remembrance and Action on Violence Against Women|Tue, 6 Dec 2011 07:00:00 -0500| From sunrise to sunset on Tuesday, December 6, 2011. | National Day of Remembrance and Action on Violence Against Women| All Government of Canada buildings and establishments across the country, including the Peace Tower on Parliament Hill in Ottawa.|11|2011-12-06 00:00:00|NA|2011
Death of The Honourable Stuart Stratton, Q.C., former Chief Justice of New Brunswick|Mon, 14 Nov 2011 07:00:00 -0500| From November 14 until sunset on Wednesday, November 16, 2011, the day of the funeral of the late Honourable Stuart Stratton.| Death of The Honourable Stuart Stratton, Q.C., former Chief Justice of New Brunswick.| All Government of Canada buildings and establishments in the province of New Brunswick.|10|2011-11-14 00:00:00|2011-11-16 00:00:00|2011
Remembrance Day|Fri, 11 Nov 2011 07:00:00 -0500| From sunrise to sunset on Friday, November 11, 2011. | Remembrance Day |  All Government of Canada buildings and establishments across the country, including the Peace Tower on Parliament Hill in Ottawa. When half-masting occurs at the National War Memorial or a place where remembrance is being observed, the half-masting can occur at 11:00 a.m. (or according to the prescribed order or service) until sunset.|11|2011-11-11 00:00:00|NA|2011
Death of the Honourable Barnett J. Danson, Former Member of Parliament for the Riding of York North|Thu, 20 Oct 2011 00:00:00 -0400| From October 20 until sunset on Sunday, October 23, 2011, the day of the funeral service of the late Honourable Barnett J. Danson. | Death of the Honourable Barnett J. Danson, P.C., C.C., LL.D., and Former Member of Parliament for the Riding of York North (1968-1979)| October 20 to 23: All Government of Canada buildings and establishments in the city of Toronto, Ontario.|237|2011-10-20 00:00:00|2011-10-23 00:00:00|2011
